payment_id,status,status_detail,competencia_venda,vencimento_money_release_date,money_release_status,receita_bruta,comissao_ml,frete_ml,liquido
144359445042,approved,accredited,2026-02-01,2026-02-15,released,56.9,16.14,0.0,40.76
143684596337,approved,accredited,2026-02-01,2026-02-11,released,309.0,37.08,23.45,248.47
144370799868,approved,accredited,2026-02-01,2026-02-12,released,284.74,25.44,23.45,235.85
143695465493,approved,accredited,2026-02-01,2026-02-10,released,94.9,11.39,11.97,71.54
143699005939,charged_back,reimbursed,2026-02-01,2026-02-10,released,115.8,13.9,13.96,87.94
143708806971,approved,accredited,2026-02-01,2026-02-13,released,279.9,33.59,23.45,222.86
144404040084,approved,accredited,2026-02-01,2026-02-13,released,50.59,11.8,0.0,38.79
144467225064,approved,accredited,2026-02-02,2026-02-12,released,293.96,26.19,23.45,244.32
143793233547,approved,accredited,2026-02-02,2026-02-14,released,255.9,30.71,22.45,202.74
143794551503,approved,accredited,2026-02-02,2026-02-13,released,36.05,9.89,0.0,26.16
144474946344,approved,accredited,2026-02-02,2026-02-12,released,27.55,8.94,0.0,18.61
143798348367,approved,accredited,2026-02-02,2026-02-20,pending,73.62,16.99,0.0,56.63
144491410542,approved,accredited,2026-02-02,2026-02-12,released,101.27,9.05,16.41,75.81
143814720883,in_mediation,pending,2026-02-02,2026-02-14,released,710.9,120.85,23.45,566.6
144500605642,in_mediation,pending,2026-02-02,2026-02-13,released,142.4,17.09,15.96,109.35
143822888297,approved,accredited,2026-02-02,2026-02-14,released,874.9,148.73,28.45,697.72
144506403470,approved,accredited,2026-02-02,2026-02-13,released,246.9,41.97,19.95,184.98
144512181010,approved,accredited,2026-02-02,2026-02-11,released,284.9,34.19,23.45,227.26
143837265939,approved,accredited,2026-02-02,2026-02-13,released,411.8,49.42,42.9,319.48
144522992246,refunded,bpp_refunded,2026-02-02,2026-02-02,released,18.9,8.52,0.0,10.38
