data,caixa_api_baixas,caixa_ajustes_legado,caixa_total_dia,caixa_diff_vs_extrato,comp_receita_bruta,comp_devolucoes,comp_receita_liquida,comp_comissao,comp_frete,comp_resultado_variavel
01/01/2026,4511.04,-3988.24,522.8,0.0,968.02,0.0,968.02,174.94,76.82,716.26
02/01/2026,0.0,-102.53,-102.53,0.0,16079.86,9700.0,6379.86,1801.24,452.19,4126.43
03/01/2026,644.6,0.0,644.6,0.0,1592.72,0.0,1592.72,189.99,121.88,1280.85
04/01/2026,678.09,-1000.0,-321.91,0.0,1118.38,0.0,1118.38,153.64,85.36,879.38
05/01/2026,787.31,-1614.15,-826.84,0.0,3813.74,333.86,3479.88,431.19,203.4,2845.29
06/01/2026,1911.39,-1629.21,282.18,0.0,11792.07,919.7,10872.37,1430.59,577.6,8864.18
07/01/2026,498.17,10.9,509.07,0.0,6249.4,521.7,5727.7,720.67,309.77,4697.26
08/01/2026,219.73,-607.15,-387.42,0.0,5843.76,500.9,5342.86,695.12,452.63,4195.11
09/01/2026,0.0,8.11,8.11,0.0,14657.9,0.0,14657.9,1760.34,412.17,12485.39
10/01/2026,1787.28,-4098.14,-2310.86,0.0,3889.97,149.1,3740.87,493.48,180.11,3067.28
11/01/2026,1795.65,8.99,1804.64,0.0,2516.56,0.0,2516.56,327.11,151.77,2037.68
12/01/2026,444.13,-951.38,-507.25,0.0,6790.76,246.5,6544.26,893.89,361.8,5288.57
13/01/2026,1420.7,-1435.56,-14.86,0.0,6343.48,401.75,5941.73,817.92,377.69,4746.12
14/01/2026,924.84,-956.89,-32.05,0.0,9750.8,0.0,9750.8,1235.83,343.25,8171.72
15/01/2026,2591.2,-689.89,1901.31,0.0,6761.99,332.69,6429.3,911.61,399.47,5118.22
16/01/2026,3341.84,-7733.18,-4391.34,0.0,7492.02,436.6,7055.42,935.81,451.1,5668.51
17/01/2026,3340.42,316.87,3657.29,0.0,848.69,282.9,565.79,116.84,68.55,380.4
18/01/2026,5665.28,0.0,5665.28,0.0,655.5,0.0,655.5,103.55,76.33,475.62
19/01/2026,5097.74,-8677.53,-3579.79,0.0,6634.67,509.8,6124.87,899.14,447.47,4778.26
20/01/2026,2085.15,-8641.6,-6556.45,0.0,7204.74,259.0,6945.74,960.85,400.82,5584.07
21/01/2026,2538.2,625.87,3164.07,0.0,12187.12,1811.78,10375.34,1675.15,390.11,8310.08
22/01/2026,2368.8,-600.83,1767.97,0.0,4314.08,840.69,3473.39,550.27,382.53,2540.59
23/01/2026,4454.03,-4270.98,183.05,0.0,2858.06,1420.3,1437.76,292.07,178.88,966.81
24/01/2026,3006.8,624.12,3630.92,0.0,2022.03,673.84,1348.19,239.38,176.89,931.92
25/01/2026,7470.79,-1921.94,5548.85,0.0,1023.21,289.0,734.21,140.89,89.65,503.67
26/01/2026,48519.75,-61618.54,-13098.79,0.0,9399.19,737.3,8661.89,1331.93,536.29,6793.67
27/01/2026,102.84,-1064.65,-961.81,0.0,10815.77,1862.5,8953.27,1541.65,386.11,7025.51
28/01/2026,0.0,-163.94,-163.94,0.0,7503.13,10000.0,-2496.87,1141.49,257.48,-3895.84
29/01/2026,0.0,743.1,743.1,0.0,3330.29,319.8,3010.49,448.26,233.19,2329.04
30/01/2026,0.0,-163.23,-163.23,0.0,1597.75,804.85,792.9,205.9,134.55,452.45
31/01/2026,0.0,0.0,0.0,0.0,3872.53,0.0,3872.53,480.85,230.51,3161.17
TOTAL,106205.77,-109591.6,-3385.83,0.0,179928.19,33354.56,146573.63,23101.59,8946.37,114525.67
