date,api_baixas,refund_mediation,non_sale,ajustes_legado,gerado_total,extrato_total,dif,saldo_gerado,saldo_extrato,saldo_diff
2026-01-01,4511.04,,,-3988.24,522.8,522.8,0.0,4999.03,4999.03,0.0
2026-01-02,0.0,,,-102.53,-102.53,-102.53,0.0,4896.5,4896.5,0.0
2026-01-03,644.6,,,0.0,644.6,644.6,0.0,5541.1,5541.1,0.0
2026-01-04,678.09,,,-1000.0,-321.91,-321.91,0.0,5219.19,5219.19,0.0
2026-01-05,787.31,,,-1614.15,-826.84,-826.84,0.0,4392.35,4392.35,0.0
2026-01-06,1911.39,,,-1629.21,282.18,282.18,0.0,4674.53,4674.53,0.0
2026-01-07,498.17,,,10.9,509.07,509.07,0.0,5183.6,5183.6,0.0
2026-01-08,219.73,,,-607.15,-387.42,-387.42,0.0,4796.18,4796.18,0.0
2026-01-09,0.0,,,8.11,8.11,8.11,0.0,4804.29,4804.29,0.0
2026-01-10,1787.28,,,-4098.14,-2310.86,-2310.86,0.0,2493.43,2493.43,0.0
2026-01-11,1795.65,,,8.99,1804.64,1804.64,0.0,4298.07,4298.07,0.0
2026-01-12,444.13,,,-951.38,-507.25,-507.25,0.0,3790.82,3790.82,0.0
2026-01-13,1420.7,,,-1435.56,-14.86,-14.86,0.0,3775.96,3775.96,0.0
2026-01-14,924.84,,,-956.89,-32.05,-32.05,0.0,3743.91,3743.91,0.0
2026-01-15,2591.2,,,-689.89,1901.31,1901.31,0.0,5645.22,5645.22,0.0
2026-01-16,3341.84,,,-7733.18,-4391.34,-4391.34,0.0,1253.88,1253.88,0.0
2026-01-17,3340.42,,,316.87,3657.29,3657.29,0.0,4911.17,4911.17,0.0
2026-01-18,5665.28,,,0.0,5665.28,5665.28,0.0,10576.45,10576.45,0.0
2026-01-19,5097.74,,,-8677.53,-3579.79,-3579.79,0.0,6996.66,6996.66,0.0
2026-01-20,2085.15,,,-8641.6,-6556.45,-6556.45,0.0,440.21,440.21,0.0
2026-01-21,2538.2,,,625.87,3164.07,3164.07,0.0,3604.28,3604.28,0.0
2026-01-22,2368.8,,,-600.83,1767.97,1767.97,0.0,5372.25,5372.25,0.0
2026-01-23,4454.03,,,-4270.98,183.05,183.05,0.0,5555.3,5555.3,0.0
2026-01-24,3006.8,,,624.12,3630.92,3630.92,0.0,9186.22,9186.22,0.0
2026-01-25,7470.79,,,-1921.94,5548.85,5548.85,0.0,14735.07,14735.07,0.0
2026-01-26,48519.75,,,-61618.54,-13098.79,-13098.79,0.0,1636.28,1636.28,0.0
2026-01-27,102.84,,,-1064.65,-961.81,-961.81,0.0,674.47,674.47,0.0
2026-01-28,0.0,,,-163.94,-163.94,-163.94,0.0,510.53,510.53,0.0
2026-01-29,0.0,,,743.1,743.1,743.1,0.0,1253.63,1253.63,0.0
2026-01-30,0.0,,,-163.23,-163.23,-163.23,0.0,1090.4,1090.4,0.0
2026-01-31,0.0,,,0.0,0.0,0.0,0.0,1090.4,1090.4,0.0
2026-02-01,0.0,0.0,-350.0,-350.0,-350.0,-350.0,0.0,740.4,740.4,0.0
2026-02-02,0.0,-734.26,0.0,-734.26,-734.26,-734.26,0.0,6.14,6.14,0.0
2026-02-03,0.0,-6.14,0.0,-6.14,-6.14,-6.14,0.0,0.0,0.0,0.0
2026-02-04,1879.11,-1879.11,0.0,-1879.11,0.0,-0.0,-0.0,0.0,0.0,0.0
2026-02-05,2992.29,-2036.83,-700.0,-2736.83,255.46,255.46,-0.0,255.46,255.46,0.0
2026-02-06,4852.46,-80.85,0.0,-80.85,4771.61,4771.61,0.0,5027.07,5027.07,0.0
2026-02-07,2480.24,56.24,-5000.0,-4943.76,-2463.52,-2463.52,0.0,2563.55,2563.55,0.0
2026-02-08,4937.61,0.0,-627.48,-627.48,4310.13,4310.13,0.0,6873.68,6873.68,0.0
2026-02-09,245.74,-3887.06,-1482.7,-5369.76,-5124.02,-5124.02,0.0,1749.66,1749.66,0.0
2026-02-10,3418.4,-851.56,-1293.54,-2145.1,1273.3,1273.3,-0.0,3022.96,3022.96,0.0
2026-02-11,1362.99,170.46,0.0,170.46,1533.45,1533.45,0.0,4556.41,4556.41,0.0
2026-02-12,2462.14,-44.9,10.9,-34.0,2428.14,2428.14,0.0,6984.55,6984.55,0.0
2026-02-13,3878.17,-349.6,-3636.39,-3985.99,-107.82,-107.82,0.0,6876.73,6876.73,0.0
2026-02-14,2857.78,-46.9,0.0,-46.9,2810.88,2810.88,-0.0,9687.61,9687.61,0.0
2026-02-15,4007.61,0.0,-12153.06,-12153.06,-8145.45,-8145.45,-0.0,1542.16,1542.16,0.0
2026-02-16,1497.15,-181.01,-1474.59,-1655.6,-158.45,-158.45,0.0,1383.71,1383.71,0.0
2026-02-17,2704.58,-84.6,-377.26,-461.86,2242.72,2242.72,0.0,3626.43,3626.43,0.0
