Data,API baixa (raw),API baixa (ajustada),Ajustes (demais mov.),Gerado total raw,Gerado total ajustado,Extrato total,Dif raw,Dif ajustada
01/01/2026,"R$ 0,00","R$ 0,00","R$ 31,91","R$ 31,91","R$ 31,91","R$ 31,91","R$ 0,00","R$ 0,00"
02/01/2026,"R$ 0,00","R$ 0,00","R$ -133,79","R$ -133,79","R$ -133,79","R$ -133,79","R$ 0,00","R$ 0,00"
03/01/2026,"R$ 0,00","R$ 0,00","R$ -791,35","R$ -791,35","R$ -791,35","R$ -791,35","R$ 0,00","R$ 0,00"
04/01/2026,"R$ 0,00","R$ 0,00","R$ 58,22","R$ 58,22","R$ 58,22","R$ 58,22","R$ 0,00","R$ 0,00"
05/01/2026,"R$ 0,00","R$ 0,00","R$ -287,76","R$ -287,76","R$ -287,76","R$ -287,76","R$ 0,00","R$ 0,00"
06/01/2026,"R$ 0,00","R$ 0,00","R$ -3.187,04","R$ -3.187,04","R$ -3.187,04","R$ -3.187,04","R$ 0,00","R$ 0,00"
07/01/2026,"R$ 408,00","R$ 408,00","R$ -802,78","R$ -394,78","R$ -394,78","R$ -394,78","R$ 0,00","R$ 0,00"
08/01/2026,"R$ 64,45","R$ 64,45","R$ -50,72","R$ 13,73","R$ 13,73","R$ 13,73","R$ 0,00","R$ 0,00"
09/01/2026,"R$ 0,00","R$ 0,00","R$ -713,56","R$ -713,56","R$ -713,56","R$ -713,56","R$ 0,00","R$ 0,00"
10/01/2026,"R$ 389,16","R$ 389,16","R$ -389,16","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
11/01/2026,"R$ 1.288,22","R$ 1.288,22","R$ -1.128,53","R$ 159,69","R$ 159,69","R$ 159,69","R$ 0,00","R$ 0,00"
12/01/2026,"R$ 1.462,99","R$ 1.462,99","R$ -1.131,37","R$ 331,62","R$ 331,62","R$ 331,62","R$ 0,00","R$ 0,00"
13/01/2026,"R$ 1.838,90","R$ 1.838,90","R$ -1,24","R$ 1.837,66","R$ 1.837,66","R$ 1.837,66","R$ 0,00","R$ 0,00"
14/01/2026,"R$ 1.838,70","R$ 1.838,70","R$ -3.324,19","R$ -1.485,49","R$ -1.485,49","R$ -1.485,49","R$ 0,00","R$ 0,00"
15/01/2026,"R$ 2.570,01","R$ 2.570,01","R$ -1.160,66","R$ 1.409,35","R$ 1.409,35","R$ 1.409,35","R$ 0,00","R$ 0,00"
16/01/2026,"R$ 2.563,50","R$ 2.563,50","R$ -2.212,58","R$ 350,92","R$ 350,92","R$ 350,92","R$ 0,00","R$ 0,00"
17/01/2026,"R$ 2.394,99","R$ 2.358,37","R$ -934,58","R$ 1.460,41","R$ 1.423,79","R$ 1.423,79","R$ -36,62","R$ 0,00"
18/01/2026,"R$ 2.299,95","R$ 2.299,95","R$ -195,45","R$ 2.104,50","R$ 2.104,50","R$ 2.104,50","R$ 0,00","R$ 0,00"
19/01/2026,"R$ 1.189,43","R$ 1.189,43","R$ -972,54","R$ 216,89","R$ 216,89","R$ 216,89","R$ 0,00","R$ 0,00"
20/01/2026,"R$ 3.982,41","R$ 3.966,54","R$ -10.217,79","R$ -6.235,38","R$ -6.251,25","R$ -6.251,25","R$ -15,87","R$ 0,00"
21/01/2026,"R$ 2.391,00","R$ 2.391,00","R$ -2.236,98","R$ 154,02","R$ 154,02","R$ 154,02","R$ 0,00","R$ 0,00"
22/01/2026,"R$ 3.784,83","R$ 3.784,83","R$ -447,48","R$ 3.337,35","R$ 3.337,35","R$ 3.337,35","R$ 0,00","R$ 0,00"
23/01/2026,"R$ 5.061,50","R$ 5.061,50","R$ -4.240,20","R$ 821,30","R$ 821,30","R$ 821,30","R$ 0,00","R$ 0,00"
24/01/2026,"R$ 7.981,51","R$ 7.981,51","R$ -4.431,76","R$ 3.549,75","R$ 3.549,75","R$ 3.549,75","R$ 0,00","R$ 0,00"
25/01/2026,"R$ 4.230,82","R$ 4.230,82","R$ -49,89","R$ 4.180,93","R$ 4.180,93","R$ 4.180,93","R$ 0,00","R$ 0,00"
26/01/2026,"R$ 51.947,67","R$ 51.947,67","R$ -52.008,72","R$ -61,05","R$ -61,05","R$ -61,05","R$ 0,00","R$ 0,00"
27/01/2026,"R$ 0,00","R$ 0,00","R$ -12.079,98","R$ -12.079,98","R$ -12.079,98","R$ -12.079,98","R$ 0,00","R$ 0,00"
28/01/2026,"R$ 21,72","R$ 21,72","R$ -21,72","R$ 0,00","R$ 0,00","R$ -0,00","R$ -0,00","R$ -0,00"
29/01/2026,"R$ 73,84","R$ 73,84","R$ -73,84","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
30/01/2026,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
31/01/2026,"R$ 133,79","R$ 133,79","R$ -133,79","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
TOTAL JAN/2026,"R$ 97.917,39","R$ 97.864,90","R$ -103.269,32","R$ -5.351,93","R$ -5.404,42","R$ -5.404,42","R$ -52,49","R$ 0,00"
