data_lancamento_caixa_futuro,origem,valor_net_api
2026-02-04,vendas_competencia_janeiro,1879.11
2026-02-05,vendas_competencia_janeiro,2992.29
2026-02-06,vendas_competencia_janeiro,4852.46
2026-02-07,vendas_competencia_janeiro,2480.24
2026-02-08,vendas_competencia_janeiro,4937.61
2026-02-09,vendas_competencia_janeiro,245.74
2026-02-10,vendas_competencia_janeiro,3258.92
2026-02-11,vendas_competencia_janeiro,887.26
2026-02-12,vendas_competencia_janeiro,1171.08
2026-02-13,vendas_competencia_janeiro,1108.4
2026-02-14,vendas_competencia_janeiro,18.88
2026-02-15,vendas_competencia_janeiro,395.28
2026-02-23,vendas_competencia_janeiro,649.24
TOTAL,vendas_competencia_janeiro,24876.51
